name,label,group,n_used,verdict,p_structure,p_boot,dim2,atom,z_cyc3,z_cyc7,z_cyc8,z_cyc12,z_hash,acf,pe,fft,quantized,uniq_ratio,source,note
cet_daily_anomaly,unknown,climate,10000,NonlinStoch,0.009966777408637873,0.01,nan,0.9116793085597246,5.15006253844621,10.026986723161995,9.121244237824325,5.639929136186197,1.3998777145097194,0.03873767786924627,0.9987386805863547,0.007184533118708776,False,0.7906,"HadCET daily, seasonal cycle removed",Hasselmann prior: Noise
cet_daily_raw,unknown,climate,10000,Noise,0.31561461794019935,,nan,0.7479327325095234,0.9491663355906995,1.2094455634849464,1.0413936996959519,2.2973237177221875,0.09780307606555459,0.10144346133171382,0.9984382199120522,0.02818048464073384,True,0.0292,HadCET 1772-2022 daily,
nao_daily,unknown,climate,10000,Chaos,0.0033222591362126247,0.01,nan,0.7645945519680959,63.189338627399486,99.22963740173377,235.04980474084482,57.293712279663566,3.913609262146484,0.1143429404846289,0.9100025543620286,0.008668059876329905,True,0.3127,NOAA CPC daily NAO 1950-2026,
sp500_log_returns_full,unknown,finance,10000,NonlinStoch,0.0033222591362126247,0.01,nan,0.9937022042285201,5.351032199561447,9.743010635214894,19.12379028972394,6.37028509604693,-0.1527992591248685,0.03243620515793058,0.9973365665155149,0.00485817620341384,False,0.9969,Yahoo ^GSPC 1970-01-02..2026-08-05,efficient-market prior: Noise
sp500_realized_vol,unknown,finance,10000,Noise,0.3588039867109635,,1.4118283671933496,0.4520560244209014,2.177212894434341,2.1137652941357583,1.7664343883716611,2.0938050968675257,0.9676073470845177,0.42684325113202914,0.9985730422360293,0.008768487619504106,False,0.9999,Yahoo ^GSPC 22d rolling std,
chua_x,Chaos,flow,10000,Noise,0.0033222591362126247,1.0,1.7768291904015705,0.6423369149844894,153.45410914597727,227.72704300715054,603.8165222120535,141.96725103904984,1.5663787470695574,0.6281720612868634,0.5608538468075638,0.09816564585153272,False,1.0,synthetic,lyap=0.4252
chua_y,Chaos,flow,10000,Chaos,0.0033222591362126247,0.01,nan,0.7972480777013354,138.10769954645127,219.82781663785005,525.3787207722305,132.47544297507565,1.454805604889682,0.9195214190023889,0.5041295724760708,0.17243420709678847,False,1.0,synthetic,lyap=0.4252
lorenz_x_rho10,Regular,flow,10000,Regular,0.0033222591362126247,1.0,0.0,1.0,434.48767380615953,454.4445428743327,1350.2320000542495,347.95055531359066,381.51707222420305,1.0,-0.0,0.0,True,0.0001,synthetic,lyap=-0.5946
lorenz_x_rho28,Chaos,flow,10000,Chaos,0.0033222591362126247,0.01,1.6764983763389512,0.4564562539339988,228.0614469451706,265.63548071650854,819.647676388773,225.57858530016,6.286334206502633,0.7810092129137549,0.4052717016415046,0.02273096114363984,False,1.0,synthetic,lyap=0.8999
lorenz_y_rho28,Chaos,flow,10000,Chaos,0.0033222591362126247,0.01,1.4576235739820713,0.44100814686805667,229.74585175875598,257.2773379645098,796.941171282777,223.23049611020713,5.0741495405052,0.6584511422344179,0.42065844459877116,0.022502448030194504,False,1.0,synthetic,lyap=0.8999
lorenz_z_rho28,Chaos,flow,10000,Chaos,0.0033222591362126247,0.01,1.6162630602559003,0.5143119718467711,253.01529739462183,280.013450108748,849.404177273942,249.9721439698505,4.43447624491933,0.7307761142003036,0.3336238221551414,0.15075990592574148,False,1.0,synthetic,lyap=0.8999
rossler_x_c2.5,Regular,flow,10000,Regular,0.0033222591362126247,0.85,0.9801433781653202,0.08856411637931035,182.46420011002746,228.82721622685295,707.8428013662657,211.07147862660858,17.08829195135839,0.9999711641976842,0.3958656768448941,0.94644516722363,False,1.0,synthetic,lyap=-0.0112
rossler_x_c5.7,Chaos,flow,10000,Chaos,0.0033222591362126247,0.01,1.7281080504351487,0.672105322381006,207.96816099824974,260.69677344870547,800.7661900427318,203.37662189771382,5.1520960542708005,0.8908356980254195,0.4029059836487405,0.7294379740723003,False,1.0,synthetic,lyap=0.0830
rossler_y_c5.7,Chaos,flow,10000,Chaos,0.0033222591362126247,0.02,1.7718699189973195,0.6564679415073116,195.41712382318028,259.6425467685485,806.272141422106,189.22037311093274,5.988218227358427,0.9282168764237994,0.3993477669503325,0.8310798285413609,False,1.0,synthetic,lyap=0.0830
henon_x_a1.1,Chaos,map,10000,Chaos,0.0033222591362126247,0.01,1.070128370263521,0.08038730015762216,62.04289166534445,79.96743434181217,160.01685892228812,84.96427092516468,19.391086193475523,0.713361593154445,0.6333192863524585,0.09063225241685256,False,1.0,synthetic,lyap=0.1792
henon_x_a1.3,Regular,map,10000,Regular,0.0033222591362126247,0.02,7.12193459147045e-17,0.14285714285714285,112.88359683087988,112.04960132400178,295.9309370028759,120.62179897950688,23.62551285643891,0.9999999999849193,0.40645711597648787,0.666598637733076,True,0.0007,synthetic,lyap=-0.2375
henon_x_a1.4,Chaos,map,10000,Chaos,0.0033222591362126247,0.01,1.2067641566746916,0.20660971223021582,39.58539702455791,60.2276579827604,109.58034840227013,50.50139660236698,5.935081339611707,0.36808119934287414,0.6989109082830492,0.008858149115156179,False,1.0,synthetic,lyap=0.4209
henon_y_a1.4,Chaos,map,10000,Chaos,0.0033222591362126247,0.01,1.2057574245648477,0.20584403916988592,39.48714286209704,60.03221836066641,110.85535465558837,50.62947743856572,5.703599094413768,0.3681557855266461,0.6988494304105111,0.00886044392135019,False,1.0,synthetic,lyap=0.4209
logistic_r2.80,Regular,map,10000,Regular,0.0033222591362126247,1.0,0.0,1.0,425.8100037100149,365.2150487188632,1110.2805176864829,322.01242775985503,202.17252563516337,1.0,0.0022847500528383334,4.450186917397345e-18,True,0.0001,synthetic,lyap=-0.2231
logistic_r3.00,Regular,map,10000,Regular,0.0033222591362126247,0.01,0.9958731585870758,0.033834670983116384,165.3279253934143,242.14052955417398,493.9828695725042,137.70766844154568,19.749692096728513,0.9998980959167073,0.2896312587910689,0.9966962662355353,False,1.0,synthetic,lyap=-0.0000
logistic_r3.50,Regular,map,10000,Regular,0.0033222591362126247,0.56,1.7804836478676126e-17,0.25,144.82937590795436,157.9063919246778,580.1251993551117,155.66758305614619,25.69471871909991,0.9999999996658907,0.28956590122791626,0.9629147422868232,True,0.0004,synthetic,lyap=-0.8725
logistic_r3.57,Chaos,map,10000,Regular,0.0033222591362126247,0.35,0.9250656244549255,0.025074210668345774,69.06299823442073,115.77744494618726,310.55244865353654,84.92918410011625,24.087501250991185,0.999973795532365,0.5067550634289726,0.8690368115350883,False,1.0,synthetic,lyap=0.0109
logistic_r3.70,Chaos,map,10000,Chaos,0.0033222591362126247,0.01,0.966211395559462,0.05721880561375053,58.0932128810869,33.847425595168446,62.31822582640745,34.70984213214771,9.756831915935512,0.19879945946709973,0.7052843407333452,0.007752991404938753,False,1.0,synthetic,lyap=0.3557
